spritesheet : ./img/Map.png
Elements : 6
Type : Special
Value : 50
Size : 1 0 24 24
Type : Food
Value : 10
Size : 1 26 24 24
Type : Cheer
Value : 200
Size 27 0 24 24
Type : Straweberry
Value : 300
Size : 27 26
Type : Peach
Value : 400
Size 27 52 24 24
Type : Apple 
Value : 500
Size 27 78 24 24
Sizex : 21
Sisey : 22
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0
0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0
0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0
0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0
0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 0
0 0 0 0 0 1 0 0 0 8 0 8 0 0 0 1 0 0 0 0 0
0 0 0 0 0 1 0 8 8 8 8 8 8 8 0 1 0 0 0 0 0
0 0 0 0 0 1 0 8 0 0 8 0 0 8 0 1 0 0 0 0 0
8 8 8 8 8 1 8 8 0 8 8 8 0 8 8 1 8 8 8 8 8
0 0 0 0 0 1 0 8 0 0 0 0 0 8 0 1 0 0 0 0 0
0 0 0 0 0 1 0 8 8 8 8 8 8 8 0 1 0 0 0 0 0
0 0 0 0 0 1 0 8 0 0 0 0 0 8 0 1 0 0 0 0 0
0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0
0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0
0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0
0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0
0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 0
0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0
0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
